customer_id,age,gender,item_purchased,product_type,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_freq_days
1,60,Female,Sweater,Apparel,84.25,Delaware,S,Teal,Winter,3.010953979,No,Standard,Yes,32,Cash,Fortnightly,senior,14
2,67,Male,Shirt,Apparel,93.52,New York,XL,Violet,Winter,1.6,No,Free Shipping,Yes,33,Credit Card,Weekly,senior,7
3,64,Male,Shorts,Apparel,119.49,New Hampshire,L,Yellow,Spring,3.010953979,No,Free Shipping,Yes,8,Bank Transfer,Quarterly,senior,90
4,25,Male,Sandals,Footwear,49.36,Massachusetts,L,Green,Summer,2.991810919,Yes,Express,No,52,Debit Card,Fortnightly,young,14
5,34,Female,Dress,Apparel,90.04,Louisiana,S,Green,Winter,3.010953979,Yes,2-Day Shipping,Yes,55,PayPal,Monthly,adult,30
6,37,Male,Shorts,Apparel,38.27,Wyoming,S,Brown,Winter,2,Yes,Standard,No,27,Cash,Weekly,adult,7
7,68,Female,Boots,Footwear,31.04,New York,XXL,Maroon,Winter,2.991810919,No,Free Shipping,No,36,Credit Card,Bi-Weekly,senior,14
8,52,Male,Coat,Outerwear,49.53,Oregon,M,Teal,Winter,2.3,Yes,2-Day Shipping,No,12,Bank Transfer,Bi-Weekly,middle_aged,14
9,26,Female,Sweater,Apparel,115.59,New Hampshire,M,Violet,Winter,1,Yes,2-Day Shipping,Yes,59,Venmo,Fortnightly,young,14
10,28,Male,Coat,Outerwear,100.38,Illinois,XL,Violet,Summer,4.1,Yes,Standard,Yes,54,Debit Card,Weekly,young,7
11,27,Female,Scarf,Apparel,67.82,Massachusetts,L,Charcoal,Winter,2.3,Yes,Next Day Air,Yes,15,Bank Transfer,Bi-Weekly,young,14
12,46,Female,Sunglasses,Luxury Goods,114.44,New Hampshire,M,Violet,Winter,3,Yes,Next Day Air,Yes,44,Venmo,Monthly,middle_aged,30
13,19,Male,Boots,Footwear,18.17,West Virginia,L,Gold,Winter,1.4,Yes,Express,Yes,37,Venmo,Quarterly,young,90
14,66,Male,Shoes,Footwear,17.63,Montana,XL,Charcoal,Summer,2.9,Yes,Free Shipping,No,50,Venmo,Weekly,senior,7
15,47,Female,Shirt,Apparel,47.91,Montana,M,Green,Summer,4.3,Yes,Standard,No,53,Credit Card,Fortnightly,middle_aged,14
16,54,Female,Handbag,Bags & Accessories,28.56,Louisiana,XXL,Black,Winter,2.6,Yes,Next Day Air,Yes,26,Venmo,Bi-Weekly,middle_aged,14
17,63,Male,Shirt,Apparel,22.31,Wyoming,L,Blue,Winter,4,Yes,2-Day Shipping,No,33,Debit Card,Fortnightly,senior,14
18,25,Female,Shoes,Footwear,16.28,Florida,XL,Violet,Winter,2.3,No,2-Day Shipping,Yes,29,PayPal,Weekly,young,7
19,28,Male,Sandals,Footwear,113.19,Rhode Island,M,Olive,Summer,1,No,Express,Yes,15,Venmo,Bi-Weekly,young,14
20,67,Male,Sunglasses,Luxury Goods,38.47,Oregon,L,Maroon,Winter,3.7,No,2-Day Shipping,No,31,Credit Card,Weekly,senior,7
21,57,Female,Scarf,Apparel,78.15,Hawaii,S,Green,Winter,3.010953979,Yes,Store Pickup,Yes,18,Bank Transfer,Monthly,senior,30
22,23,Female,Dress,Apparel,74.89,West Virginia,L,Gold,Spring,4.4,Yes,Next Day Air,Yes,26,Bank Transfer,Bi-Weekly,young,14
23,38,Female,Boots,Footwear,29.1,New Hampshire,L,Yellow,Fall,3.1,No,Standard,No,37,Venmo,Bi-Weekly,adult,14
24,43,Male,Sandals,Footwear,84.27,Missouri,XL,Black,Fall,4.8,No,Free Shipping,Yes,40,Debit Card,Monthly,adult,30
25,39,Female,Boots,Footwear,24.45,Louisiana,M,Green,Spring,3.4,Yes,Store Pickup,No,7,Credit Card,Weekly,adult,7
26,21,Male,Shorts,Apparel,83.33,Oregon,M,Turquoise,Summer,2.9,Yes,Store Pickup,No,7,PayPal,Bi-Weekly,young,14
27,61,Female,Belt,Bags & Accessories,42.76,Arkansas,XL,Maroon,Spring,2.972365196,No,Express,Yes,38,PayPal,Weekly,senior,7
28,61,Male,Handbag,Bags & Accessories,20.38,Louisiana,XL,Blue,Spring,1.4,Yes,Next Day Air,Yes,56,Bank Transfer,Weekly,senior,7
29,36,Female,Scarf,Apparel,113.78,Louisiana,M,Violet,Spring,3,No,Store Pickup,Yes,13,Venmo,Quarterly,adult,90
30,38,Female,Shoes,Footwear,51.77,Oregon,L,Teal,Spring,2,Yes,Store Pickup,No,27,PayPal,Fortnightly,adult,14
31,62,Male,Sandals,Footwear,20.24,Texas,XXL,Purple,Fall,1.9,No,Standard,No,48,Cash,Fortnightly,senior,14
32,19,Female,Coat,Outerwear,16.22,New Hampshire,M,White,Summer,2.1,No,Next Day Air,Yes,40,Debit Card,Bi-Weekly,young,14
33,41,Male,Jacket,Outerwear,16.61,Delaware,M,Black,Summer,2.4,Yes,Standard,Yes,3,PayPal,Fortnightly,adult,14
34,64,Male,Handbag,Bags & Accessories,23.97,Wyoming,S,Silver,Spring,3.5,Yes,Store Pickup,No,50,Venmo,Bi-Weekly,senior,14
35,59,Male,Shirt,Apparel,89.01,Florida,L,Maroon,Fall,2.7,No,Express,No,19,Venmo,Monthly,senior,30
36,31,Male,Boots,Footwear,41.53,Ohio,XL,Gold,Fall,2.991810919,No,Next Day Air,No,59,Venmo,Monthly,young,30
37,30,Male,Hat,Bags & Accessories,80.37,Montana,L,Violet,Spring,1.7,Yes,Free Shipping,Yes,17,PayPal,Weekly,young,7
38,28,Female,Handbag,Bags & Accessories,108.81,Wyoming,S,Green,Winter,3,Yes,2-Day Shipping,Yes,21,PayPal,Monthly,young,30
39,41,Male,Boots,Footwear,53.79,Maine,L,Pink,Fall,4.3,No,Free Shipping,No,16,Debit Card,Monthly,adult,30
40,57,Male,Shorts,Apparel,75.22,Florida,M,Yellow,Summer,3,Yes,Standard,No,53,Venmo,Fortnightly,senior,14
41,69,Female,Jeans,Apparel,51.36,Arkansas,L,Pink,Summer,3.9,No,Express,No,18,Debit Card,Monthly,senior,30
42,56,Female,Belt,Bags & Accessories,35.91,Wyoming,S,Black,Spring,4.6,No,2-Day Shipping,Yes,48,PayPal,Fortnightly,middle_aged,14
43,28,Male,Sweater,Apparel,24.79,Louisiana,S,Gold,Fall,2.8,Yes,Next Day Air,No,47,Cash,Monthly,young,30
44,52,Male,Blouse,Apparel,19.54,West Virginia,S,Red,Fall,2.1,No,2-Day Shipping,No,41,PayPal,Fortnightly,middle_aged,14
45,45,Female,Watch,Luxury Goods,119.74,Massachusetts,L,Purple,Spring,1.2,No,Free Shipping,No,44,PayPal,Monthly,middle_aged,30
46,37,Male,Shorts,Apparel,32.65,New Hampshire,M,Violet,Summer,4.2,Yes,2-Day Shipping,Yes,34,Cash,Fortnightly,adult,14
47,38,Male,Shirt,Apparel,99.44,Maine,XL,Blue,Summer,2.4,No,Next Day Air,No,57,Bank Transfer,Annually,adult,365
48,45,Female,Sandals,Footwear,45.69,Rhode Island,M,Turquoise,Winter,4,No,Store Pickup,No,11,PayPal,Fortnightly,middle_aged,14
49,63,Female,Scarf,Apparel,16.24,New York,S,Red,Winter,2.7,Yes,2-Day Shipping,No,52,Credit Card,Quarterly,senior,90
50,58,Male,Shorts,Apparel,112.16,New York,XL,Black,Fall,2,Yes,Free Shipping,No,5,PayPal,Weekly,senior,7
51,46,Male,Sweater,Apparel,73.97,Montana,XXL,Brown,Summer,3,No,Next Day Air,Yes,8,Credit Card,Fortnightly,middle_aged,14
52,20,Female,Hat,Bags & Accessories,96.11,Wyoming,L,Violet,Summer,4.6,No,Express,Yes,19,Venmo,Weekly,young,7
53,38,Female,Handbag,Bags & Accessories,57.45,Texas,M,Yellow,Spring,1.4,No,Standard,No,14,Cash,Fortnightly,adult,14
54,20,Male,Hat,Bags & Accessories,39.67,Oregon,M,Gold,Winter,2.4,Yes,2-Day Shipping,No,34,Venmo,Bi-Weekly,young,14
55,25,Male,Coat,Outerwear,34.78,New York,L,Purple,Fall,3.7,No,Next Day Air,Yes,35,Debit Card,Annually,young,365
56,38,Female,Blouse,Apparel,58.08,Maine,M,Pink,Spring,2.5,No,2-Day Shipping,Yes,25,Cash,Quarterly,adult,90
57,39,Male,Belt,Bags & Accessories,61.06,Illinois,L,Teal,Summer,1.2,No,2-Day Shipping,No,4,Credit Card,Quarterly,adult,90
58,53,Male,Dress,Apparel,28.6,Florida,M,Silver,Summer,4.8,Yes,Store Pickup,No,13,Venmo,Weekly,middle_aged,7
59,31,Female,Hat,Bags & Accessories,96.91,Ohio,L,Black,Summer,4.3,Yes,Free Shipping,No,54,PayPal,Fortnightly,young,14
60,62,Male,Scarf,Apparel,93.66,Massachusetts,M,Black,Fall,1.4,Yes,Store Pickup,No,33,Credit Card,Annually,senior,365
61,50,Male,Blouse,Apparel,40.76,Oregon,XL,Red,Fall,3.010953979,No,Express,Yes,8,PayPal,Bi-Weekly,middle_aged,14
